rule,results_min5_iters74.txt,results_min5_iters500.txt
FRAG --> INTJ CC SBARQ,1.83005e-09,1.80119e-09
FRAG --> INTJ FRAG,1.83569e-09,1.80732e-09
FRAG --> INTJ INTJ,1.8418e-09,1.8132e-09
FRAG --> INTJ INTJ INTJ,1.83306e-09,1.80485e-09
FRAG --> INTJ INTJ NP,1.83874e-09,1.81053e-09
FRAG --> INTJ NOT NP,1.83183e-09,1.80347e-09
FRAG --> INTJ NP,0.0110072,0.0118031
FRAG --> INTJ NP ADVP,1.83419e-09,1.80584e-09
FRAG --> INTJ NP INTJ,1.83751e-09,1.80941e-09
FRAG --> INTJ NP NP,1.83536e-09,1.80687e-09
FRAG --> INTJ NP PP,0.000693181,0.000617621
FRAG --> INTJ NP VP,1.83272e-09,1.80427e-09
FRAG --> INTJ PP,0.000196938,0.000188288
FRAG --> INTJ PP PP,1.83298e-09,1.80457e-09
FRAG --> INTJ S,1.83322e-09,1.80492e-09
FRAG --> INTJ SBAR,0.0015863,0.00157476
FRAG --> INTJ SBARQ,1.83362e-09,1.80666e-09
FRAG --> INTJ VP,1.83473e-09,1.8063e-09
FRAG --> INTJ WHADVP,0.000203765,0.000203487
FRAG --> INTJ WHADVP NP,1.83523e-09,1.80727e-09
FRAG --> INTJ WHNP,0.00334854,0.00369993
FRAG --> NN NNS,0.00052882,0.000418113
FRAG --> NOT ADJP,0.00289293,0.00283366
FRAG --> NOT ADVP,0.000202916,0.000199532
FRAG --> NOT NP,1.82997e-09,1.80162e-09
FRAG --> NOT NP ADVP,1.82994e-09,1.80159e-09
FRAG --> NOT NP NP,1.82992e-09,1.80157e-09
FRAG --> NOT PP,1.83045e-09,1.8021e-09
FRAG --> NOT SBAR,1.85146e-09,1.82262e-09
FRAG --> NOT VP,1.8327e-09,1.80425e-09
FRAG --> NP ADJP,0.0211845,0.0197323
FRAG --> NP ADJP ADVP,1.83459e-09,1.80613e-09
FRAG --> NP ADJP INTJ,1.83161e-09,1.80323e-09
FRAG --> NP ADJP NP,1.83308e-09,1.80465e-09
FRAG --> NP ADVP,0.00884504,0.00697677
FRAG --> NP ADVP INTJ,1.83518e-09,1.80677e-09
FRAG --> NP ADVP PP,1.83433e-09,1.80598e-09
FRAG --> NP ADVP VP,1.83391e-09,1.80547e-09
FRAG --> NP CC,0.0455998,0.0464163
FRAG --> NP CC NP,1.83509e-09,1.80652e-09
FRAG --> NP CC S,1.83089e-09,1.80236e-09
FRAG --> NP CC WHNP,1.83433e-09,1.80605e-09
FRAG --> NP CC WHNP ADVP,1.83208e-09,1.80357e-09
FRAG --> NP INTJ,1.83449e-09,1.80608e-09
FRAG --> NP INTJ NP,1.83394e-09,1.80554e-09
FRAG --> NP NN,0.0283863,0.0163891
FRAG --> NP NP,0.00905526,0.0145089
FRAG --> NP NP NP,0.00104159,0.00128783
FRAG --> NP NP NP INTJ,1.85134e-09,1.8245e-09
FRAG --> NP NP NP NP,1.8441e-09,1.81787e-09
FRAG --> NP NP NP NP NP,1.91264e-09,1.90786e-09
FRAG --> NP NP PP,1.83445e-09,1.8061e-09
FRAG --> NP NP VP,1.83314e-09,1.80465e-09
FRAG --> NP PP,1.8344e-09,1.80591e-09
FRAG --> NP PP INTJ,1.83567e-09,1.8071e-09
FRAG --> NP PRT,0.00906189,0.00774975
FRAG --> NP S,1.83355e-09,1.80513e-09
FRAG --> NP SBAR,0.0017617,0.000960078
FRAG --> NP VP,0.012347,0.0333467
FRAG --> NP VP ADVP,1.83379e-09,1.80537e-09
FRAG --> NP VP INTJ,1.83242e-09,1.80411e-09
FRAG --> NP VP NP,1.83414e-09,1.80562e-09
FRAG --> NP WHNP,1.83427e-09,1.80589e-09
FRAG --> PP ADVP,0.00173844,0.00171122
FRAG --> PP INTJ,1.83488e-09,1.8065e-09
FRAG --> PP NP,0.00690801,0.00664533
FRAG --> PP NP VP,1.83554e-09,1.80704e-09
FRAG --> PP PP,0.0017461,0.00164098
FRAG --> PP PP PP,1.83432e-09,1.80611e-09
FRAG --> PP SBAR,0.00188321,0.00181503
FRAG --> PP VP,0.00534853,0.00519616
FRAG --> RB NP,0.202651,0.195984
FRAG --> RB PP,0.0245178,0.0234907
FRAG --> RB VP,0.0442829,0.043218
FRAG --> S CC,0.000441782,0.00041647
FRAG --> S CC FRAG,1.83243e-09,1.80386e-09
FRAG --> S CC S,1.83079e-09,1.80231e-09
FRAG --> SBAR INTJ,1.83511e-09,1.80659e-09
FRAG --> SBAR NP VP,1.83615e-09,1.80697e-09
FRAG --> SBAR VP,0.00855761,0.00830901
FRAG --> SQ CC FRAG,1.83459e-09,1.806e-09
FRAG --> VP INTJ,1.83625e-09,1.80791e-09
FRAG --> VP NP,0.000344762,1.80662e-09
FRAG --> VP S,0.00244275,0.00239203
FRAG --> VP SQ,1.83369e-09,1.80536e-09
FRAG --> VP VP,0.00203619,1.80653e-09
FRAG --> WHADVP ADVP,0.0126707,0.0125698
FRAG --> WHADVP FRAG,0.000597467,0.000599488
FRAG --> WHADVP NOT,0.00046826,0.000467543
FRAG --> WHADVP NP,0.221697,0.218251
FRAG --> WHADVP NP VP,0.0018786,0.00193827
FRAG --> WHADVP PP,0.00251538,0.00247993
FRAG --> WHADVP S,1.82989e-09,1.80149e-09
FRAG --> WHADVP SQ,1.83102e-09,1.8028e-09
FRAG --> WHADVP VP,0.000574122,0.000568132
FRAG --> WHNP ADVP,1.83458e-09,1.80639e-09
FRAG --> WHNP ADVP SQ,1.83055e-09,1.80233e-09
FRAG --> WHNP FRAG,0.000163352,0.000164225
FRAG --> WHNP NP,0.0267621,0.026137
FRAG --> WHNP NP VP,1.83202e-09,1.80365e-09
FRAG --> WHNP PP,0.0207032,0.0204032
FRAG --> WHNP S,1.8342e-09,1.80593e-09
FRAG --> WHNP SBAR,1.83563e-09,1.80737e-09
FRAG --> WHNP SQ,0.000238259,1.80774e-09
FRAG --> WHNP VP,0.0133059,0.0261974
FRAG --> WHNP WHNP,0.000732536,0.000731373
INTJ --> ADJP ADJP,1.39752e-09,1.4008e-09
INTJ --> DT NN,1.39663e-09,1.39987e-09
INTJ --> JJ JJ,0.00427923,0.00428288
INTJ --> JJ NN,1.39644e-09,1.3997e-09
INTJ --> NP NP,0.00669588,0.00201682
INTJ --> NP PP,1.39723e-09,1.40046e-09
INTJ --> NP VP,0.0106117,0.0128648
INTJ --> PRP$ NN,1.39588e-09,1.39912e-09
INTJ --> RB JJ,1.3972e-09,1.40045e-09
INTJ --> UH ADJP,0.00472242,0.00474332
INTJ --> UH ADVP,0.00110742,0.0011177
INTJ --> UH INTJ,0.0672989,0.0673034
INTJ --> UH JJ,0.00184337,0.0018365
INTJ --> UH JJ NN,1.3956e-09,1.39885e-09
