8 0.0  FRAG --> VB
8 0.0  FRAG --> WHADVP INTJ
7 0.0  FRAG --> ADVP NP PP
7 0.0  FRAG --> CC ADVP S
7 0.0  FRAG --> CC FRAG S
7 0.0  FRAG --> CC S CC
7 0.0  FRAG --> CC S S
7 0.0  FRAG --> CC WHNP VP
7 0.0  FRAG --> COMP S
7 0.0  FRAG --> IN
7 0.0  FRAG --> NOT NP NP
7 0.0  FRAG --> NP CC WHNP ADVP
7 0.0  FRAG --> NP INTJ NP
7 0.0  FRAG --> NP NN
7 0.0  FRAG --> NP NP INTJ
7 0.0  FRAG --> QP
7 0.0  FRAG --> S CC S CC
7 0.0  FRAG --> S CC S CC FRAG
7 0.0  FRAG --> SBAR CC S
7 0.0  FRAG --> VP S
7 0.0  FRAG --> VP SQ
7 0.0  FRAG --> WHADVP NOT SQ
7 0.0  FRAG --> WHNP ADVP SQ
7 0.0  FRAG --> WHNP WHNP
6 0.0  FRAG --> CC S SQ
6 0.0  FRAG --> CC SBAR NP VP
6 0.0  FRAG --> IN NP
6 0.0  FRAG --> INTJ CC FRAG
6 0.0  FRAG --> INTJ PP INTJ
6 0.0  FRAG --> INTJ WHADVP NP
6 0.0  FRAG --> INTJ WHADVP SQ
6 0.0  FRAG --> INTJ WHNP ADVP
6 0.0  FRAG --> NOT NP ADVP
6 0.0  FRAG --> NP ADJP NP
6 0.0  FRAG --> NP ADVP ADVP
6 0.0  FRAG --> NP ADVP INTJ
6 0.0  FRAG --> NP NP NP INTJ
6 0.0  FRAG --> RB VP
6 0.0  FRAG --> SBARQ CC FRAG
6 0.0  FRAG --> VP ADVP
6 0.0  FRAG --> VP CC
5 0.0  FRAG --> CC CC SBARQ
5 0.0  FRAG --> CC INTJ
5 0.0  FRAG --> CC NOT NP
5 0.0  FRAG --> CC NP ADVP VP
5 0.0  FRAG --> CC NP VP INTJ
5 0.0  FRAG --> CC WHNP NP
5 0.0  FRAG --> COMP FRAG
5 0.0  FRAG --> FRAG CC SQ
5 0.0  FRAG --> IN WHADVP
5 0.0  FRAG --> INTJ ADVP PP
5 0.0  FRAG --> INTJ NOT NP
5 0.0  FRAG --> INTJ NOT PP
5 0.0  FRAG --> INTJ WHNP NP
5 0.0  FRAG --> MD NP VP
5 0.0  FRAG --> NN NNS
5 0.0  FRAG --> NP ADJP INTJ
5 0.0  FRAG --> NP ADVP NP
5 0.0  FRAG --> NP NP ADJP
5 0.0  FRAG --> PP PP PP
5 0.0  FRAG --> S NP VP
5 0.0  FRAG --> SQ
5 0.0  FRAG --> WHNP INTJ
5 0.0  FRAG --> WHNP NP PP
4 0.0  FRAG --> ADJP ADJP ADJP
4 0.0  FRAG --> ADJP CC
4 0.0  FRAG --> ADVP NOT
4 0.0  FRAG --> ADVP NP ADVP
4 0.0  FRAG --> ADVP NP NP
4 0.0  FRAG --> ADVP NP SBAR
